#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
-	Unknown             	-	Dummy	-	 	-	 	-	 	-	 	-	 	-	 	   0.0 	-	 0	-
?	Unknown             	-	-	-	 	-	 	-	 	-	 	-	 	-	 	-	-	-	-
N-1 Blok-A	N-1                 	OKB1	N-1 Blok A	 30.0	 	14.00	 	1870.0	 	  130000	 	   45300.0	 	-	 	 110.0 	NK-15	30	O
N-1 Blok-B	11A52B              	OKB1	Blok B	 20.5	 	10.30	 	 540.0	 	   56000	 	   14000.0	 	-	 	 130.0 	NK-15V	 8	S
Saturn S-IC	SaturnV             	BOMI	-	 42.1	 	10.06	 	2286.0	 	  135200	 	   33500.0	 	-	 	 170.0 	F-1	 5	O
Saturn S-II	SaturnII            	NAASB	S-II	 24.8	 	10.06	 	 490.8	 	   39000	 	    4500.0	 	-	 	 270.0 	J-2	 5	S
Starship V1.0	Starship            	SPX	-	 50.0	 	 9.00	 	1300.0	 	  120000	 	   12500.0	 	-	 	 330.0 	Raptor 2 Vac	 6	S
Starship V2 (R2)	Starship            	SPX	-	 50.3	 	 9.00	 	1650.0	?	  120000	?	   12500.0	 	-	 	 330.0 	Raptor 2 Vac	 6	S
Starship V3	Starship            	SPX	-	 52.1	 	 9.00	 	1720.0	?	  120000	?	   15600.0	 	-	 	 330.0 	Raptor 3 Vac	 6	S
Starship V4	Starship            	SPX	-	 61.0	 	 9.00	 	2450.0	?	  150000	?	   28700.0	 	-	 	 330.0 	Raptor 3 Vac	 9	S
Super Heavy	Starship            	SPX	-	 71.0	 	 9.00	 	3520.0	 	  220000	 	   72500.0	 	-	 	 330.0 	Raptor SL	33	S
Super Heavy V3	Starship            	SPX	-	 72.3	 	 9.00	 	3850.0	?	  220000	?	   80800.0	 	-	 	 330.0 	Raptor 3 SL	33	S
Super Heavy V4	Starship            	SPX	-	 81.0	 	 9.00	 	4250.0	?	  250000	?	  103000.0	 	-	 	 330.0 	Raptor 3 SL	35	S
ET	STS                 	MMMI	-	 47.0	 	 8.40	 	 748.0	 	   27000	 	    6300.0	 	-	 	 516.0 	SSME	 3	U
SLS CS	STS                 	BOMIS	-	 64.6	 	 8.40	 	1102.0	 	   85300	 	    9116.0	 	-	 	 483.0 	RS-25	 4	O
Energiya	Energiya            	RKKE	-	 58.1	 	 7.75	 	 780.0	 	   80000	 	    7850.0	 	-	 	 480.0 	RD-0120	 4	O
8S810	Proton              	OKB52	Proton 8S810	 21.2	 	 7.40	 	 450.0	 	   31000	 	    9500.0	 	-	 	 120.0 	RD-253	 6	O
8S810M	Proton              	OKB52	Proton 8S810	 21.2	 	 7.40	 	 450.0	 	   30600	 	   10470.0	 	-	 	 120.0 	RD-253 14D14	 6	O
8S810M-II	Proton              	OKB52	Proton 8S810	 21.2	 	 7.40	 	 459.0	 	   30600	 	   10980.0	 	-	 	 123.0 	RD-276	 6	O
8S810M-III	Proton              	OKB52	Proton 8S810	 21.2	 	 7.40	 	 459.0	 	   30600	 	   10980.0	 	-	 	 123.0 	RD-276	 6	O
Neutron St1	Neutron	RLABU	-	 42.8	 	 7.00	 	 420.0	?	-	 	    6570.0	 	-	 	-	Archimedes Vac	 9	O
New Glenn GS1-7	NewGlenn	BLORCC	-	 57.5	 	 7.00	 	 900.0	?	  110000	?	   17219.0	 	-	 	-	BE-4	 7	O
New Glenn GS1-7A	NewGlenn	BLORCC	-	 57.5	 	 7.00	 	 900.0	?	  110000	?	   19228.0	 	-	 	-	BE-4 v2	 7	O
New Glenn GS1-9	NewGlenn	BLORCC	-	 57.5	 	 7.00	 	 900.0	?	  110000	?	   19228.0	 	-	 	-	BE-4 v2	 9	O
New Glenn GS2-2	NewGlenn	BLORCC	-	 23.4	 	 7.00	 	 150.0	?	   28000	?	    1423.0	 	-	 	-	BE-3U	 2	O
New Glenn GS2-2A	NewGlenn	BLORCC	-	 23.4	 	 7.00	 	 150.0	?	   28000	?	    1779.0	 	-	 	-	BE-3U v2	 2	O
New Glenn GS2-4	NewGlenn	BLORCC	-	 23.4	 	 7.00	 	 150.0	?	   28000	?	    1779.0	 	-	 	-	BE-3U v2	 4	O
Saturn S-IVB	SaturnIVB           	DACHB	S-IVB	 18.7	 	 6.60	 	 120.0	 	   13300	 	     890.0	 	-	 	 500.0 	J-2	 1	U
Saturn S-IB	Saturn              	CHRMI	-	 24.4	 	 6.53	 	 448.7	 	   41594	 	    8240.0	 	-	 	 155.0 	H-1	 8	O
Saturn S-I	Saturn              	MSFC	-	 22.5	 	 6.53	 	 432.7	 	   45250	 	    5768.0	 	-	 	 115.0 	H-1	 8	O
N-1 Blok-V	11A52V              	OKB1	Blok V	 12.5	 	 6.40	 	 185.0	 	   13700	 	    1610.0	 	-	 	 400.0 	NK-21	 4	U
Saturn S-IV	SaturnIV            	MSFC	S-IV	  9.8	 	 5.59	 	  50.6	 	    5217	 	     400.2	 	-	 	 482.0 	RL10	 6	U
Saturn S-IVD	SaturnIV            	MSFC	Dummy S-IV	  9.8	 	 5.59	 	  50.6	 	    5217	 	     400.2	 	-	 	 482.0 	RL10	 6	U
ATB	MX                  	RSLP	-	  8.4	 	 5.50	 	 119.7	 	-	 	-	 	-	 	  78.8 	SR118	 0	-
OV	STS.OV              	RWI	-	 37.2	 	 5.49	 	 110.0	 	   80000	 	      54.0	 	-	 	  90.0 	AJ10-190	 2	U
Ariane 6 ULPM	Ariane5             	ARIB	-	 12.1	 	 5.46	 	  31.0	 	    3000	?	     180.0	 	-	 	 900.0 	Vinci	 1	O
Ariane 6 LLPM	Ariane5             	ARIG	-	 32.0	?	 5.46	 	 189.0	 	   14700	 	    1370.0	 	-	 	 465.0 	Vulcain 2.1	 1	O
Ariane 5 EPC H158	Ariane5             	NORLM	-	 30.5	 	 5.46	 	 170.0	 	   12700	 	    1114.0	 	-	 	 589.0 	Vulcain	 1	O
Ariane 5 EPC H175	Ariane5             	NORLM	-	 30.5	 	 5.46	 	 189.0	 	   14200	 	    1320.0	 	-	 	 540.0 	Vulcain 2	 1	O
Ariane 5 EPS	EPS                 	DORN	-	  4.9	 	 5.46	 	  12.5	 	    2700	 	      29.0	 	-	 	1100.0 	Aestus	 1	U
Ariane 5 EPS P2000	EPS                 	DORN	EPS L10	  5.2	?	 5.46	 	  13.0	?	    2850	 	      29.0	 	-	 	1100.0 	Aestus	 1	U
ESC-A	EPS                 	ASTD	-	  7.0	?	 5.43	 	  18.4	 	    2000	?	      64.0	 	-	 	 945.0 	HM-7B	 1	O
ESC-D	EPS                 	ASTD	-	  7.0	?	 5.43	 	  19.0	 	    2000	?	      64.0	 	-	 	 945.0 	HM-7B	 1	O
Vulcan	Vulcan	ULAD	Vulcan	 33.3	 	 5.40	 	 540.0	?	   50000	?	    4800.0	 	-	 	 299.0 	BE-4	 2	O
Centaur V	CentaurV            	ULAD	Centaur	 11.7	 	 5.40	 	  53.6	 	    7100	?	     218.0	 	-	 	 740.0 	RL10C-1-1A	 2	U
Centaur CV-HE	CentaurV            	ULAD	Centaur	 12.6	 	 5.40	 	  53.6	 	    7100	?	     218.0	 	-	 	1077.0 	RL10E1	 2	U
Centaur CV-L	CentaurV            	ULAD	Centaur	 10.7	 	 5.40	 	  40.0	?	    5000	?	     218.0	 	-	 	 740.0 	RL10E1	 2	U
H-IIB Stage 1	H2B                 	MHITO	H-II	 38.0	 	 5.20	 	 202.0	 	   24000	 	    2196.0	 	-	 	 352.0 	LE-7A	 2	O
H3 Stage 1 2E	H2B                 	MHITO	H-3	 37.0	 	 5.20	 	 114.0	 	   13000	 	    2441.0	 	-	 	 300.0 	LE-9	 2	O
H3 Stage 1 3E	H2B                 	MHITO	H-3	 37.0	 	 5.20	 	 240.0	 	   15000	 	    3663.0	 	-	 	 300.0 	LE-9	 3	O
H3 Stage 2	H2B                 	MHITO	-	 12.0	 	 5.20	 	  27.0	 	    2500	 	     137.0	 	-	 	 686.0 	LE-5B-3	 1	O
CZ-5 Stage 1	CZ5                 	CALT	CZ-H5-1	 31.7	 	 5.00	 	 186.9	 	   21600	 	    1400.0	 	-	 	 480.0 	YF-77	 2	O
